time, x, y, heading, vel_x, vel_y, vel_heading,
1.888, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.896, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.904, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.912, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.92, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.928, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.936, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.944, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.952, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.96, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.968, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.976, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.984, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
1.992, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.008, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.016, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.024, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.032, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.04, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.048, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.056, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.064, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.072, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.08, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.088, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.096, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.104, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.112, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.12, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.128, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.136, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.144, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.152, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.16, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.168, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.176, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.184, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.192, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.2, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
2.208, -5.67587e-10, -4.41073e-08, 1.22376e-05, 0, 0, 0, 
